Language,I; independent; ,I; subjectverb concord; ,you; independent; ,you; subjectverb concord; ,he/she; independent; ,he/she; subjectverb concord; ,we; independent; ,we; subjectverb concord; ,bushelezi; mnandi,y'all; subjectverb concord; ,they; independent; ,they; subjectverb concord; ,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark; tree; ,flower,grass,rope,skin,meat,blood,bone,fat; n.; ,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,hunger,to drink,to eat,to bite,to suck,to spit,to vomit,to blow,to breathe,to laugh,to see,to hear,to know,to think,to smell,to fear,to sleep,to live,to die,to kill,to fight,to hunt,to hit,to cut,to split,to stab,to scratch,to dig,to swim,to fly,to walk,to come,to lie; bed; ,to sit,to stand,to turn,to fall,to give,to hold,to squeeze,to rub,to wash,to wipe,to pull,to push,to throw,to tie,to sew,to count,to say,to sing,to play,to float,to flow,to freeze,to swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,to burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp; knife; ,blunt; knife; ,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name,saliva
Luhya,ndi;ise,ndi,esie;ive; iwe; isie;,--,ye,--,efwe; ifwe,,enywe; inywe,,abo,ba,shino,isio; esioetc.; ,ano; eno;hano,aho; eyi; eyo; ho,--,shi; shina,ewa,lina; olwa,rye; shinga,ta,osi; tulu,inji,--,titi; tutu,ndi,lala,bili,taru,ne,raano,khongo,rambi,bambalifu,khomefu,siro,titi; tutu,imbikiti,nyerere,to,omukhasi,omusatsa,omundu,abana,mukha,omukhwe; omusatsa,mama,papa,isolo,inyeni,liyoni,imbwa,indaa,inzokha,inzokha,--,omutsuru,olusala,eshiamo,imwo,lifafu; lisafu,omurombo,likhoba,eshimuli,obunyasi,omukoye,likhoba,inyama,amabanga; amalasire; amatsayi,likumba,amanulu,libuyu,eshitsiriba,omushinga,omwiro,liswi,om'rwe,eshirwi,imoni; lishu; squint; ,amolu,omunwa,elino,olulimi,--,lilaro,eshilemje; lirango; thigh; ,lisikamo,omukhono; arm; ,olubaa,inda,amala; intestines; ,likosi,omukongo,olubeere,omwoyo,ingurumani,,okhunywa; nywa,okhuliira,okhukuna; okhuluma,okhunuuna,okhubita; okhufutsa; okhunyirikha,okhusala,okhuutsa; okhufura; mouth; ,okhuyeera,okhutsekha,okhulola,okhuulira,okhumanya,okhupara,okhuunya,okurya,okhukona,okhumenya,okhufwa,okhwira,okhulwana,okhuyima,okhupa,okhushenga; okhuteta; okhutsosola; okhutuumula,okhurabukha; okhwarasia; okhwasiaka; okwabula,okhufumira,okhumaanya; okhwaka,okhulima; okhuyaba,okhwerama; okhwitubuta,okhupulukha,okhuchenda,okhwitsa,okhukonera,okhwikhala,okhusinjira,okhuunzukha,okhukwa,okhufuwa; okhuhana; okhuwa,okhutira; okhuwatsa,okhufinya; okhukhama; okhutinyira,okhuruta; okhusisa,okhwosia,okhweya,okhukhwesa,okhuluuma; okhusindikha,okhufuuba; okhutura,okhuboya; okhufundikha,okhunaba,okhubala,okhuboola,okhwimba,okhubaya,okhubenga,--,--,okhufwimba,eliuba,omwesi,ing'ining'ini,amaatsi,ifula,omuchera; omwalo,inyanza,inyanza,omufume; omunyu,libale; lichina,--,olufu,eshi,lilesi,loing'ong'ong'we,likulu,omuyeka,--,--,omwosi,omuliro,likoshe,okhwakha,engila; omuanda,olukulu,akhanyu,chishi,rapwori,lafu,mali; mwamu; ti,eshiro,indaalo; inyanga,omwika,amayu; yu,nyifu,yinjikhane,efiya; ya; yakha,khulu; kofu,layi,ababi; bi,bolo,bi,kololofu; lunji,fumunde,memu,--,nyiririfu; nyushe,nyifu; misu,umu,atieri,aambi,eyale,lunji; satsa,suba,khu; mu,mu,ne,ne,--,khulwa; okhuba; shichira,eliira,
LubaKasai,ndi,n,u,--,ye,--,twêtu,,nwênu,,--,,ako; abu,ààa,apa; pànu,amu,nganyì,cinganyì,kwěpì,bunshi,munyì,cidi,ònso,cyanga,bàmwè,kanyìkanyì,ǹga,mwe,bìdì,sàtù,naayi,taanu,nène,le,--,cyuluulu,jitu,nci,ìpì,--,nte; lèula; sulàme,mukàjì,mulùme,muntu,mwâna,mukàjì,mulùme,ciimaamù,pàpâ,nnyama,mushipa,nnyuunyu,m̀bwa,lukùsù,nnyòka,cîshiishi,mucì,dibèsè,mukwasa,cimuma,dimiinu,dyânyi,muji,cipusu,cilòngò,bîlu,mukòsà,dikòbà,nnyama,mashi,cifùpa,dìfutà,diyi,lusèngu,mukìla,lusàlà,nsukì,mutù,dicì,dîsu,dyûlu,mukana,dînu,ludìmi,ngâla,cisanjì,mukòlò,cinù,cyanza,dipwâpwà,difù,dila,nshìngù,nnyimà,cyâdi,mwoyo,mucìma,,nwà,dyà,sùma,fìpa,twìla,lùka,peepa,puuya,seka,mòna,umvwa,manya,pànga,nunka,cììna; kaakala,lààla,sòmba,fwà,shipa,lwa,zàngula,còòba; bòta,banga,aapula,ponda,aanya; koona,imba,ombela,bùùka,dyata; enda,iiya,lamba; iikisha,shikama,iimana,piluka,pwà,pà,kwàta,kàma,fiita,sukula,kùpula,fuuta,sàkila,tupù,kànda; lunga,tunga,bala,lòkota; amba,imba,nàya,anzama,mata,--,boba,dîba,mwènji,mùtôtò,mâyi,mvùla,--,dijiba,mbuwù,lwêpù,dibwe,lusenge,lupwishi,nshì,ditutu,mulemba; dibungi,dyulu,cipeepè,--,lumwènu,--,kadilu,butù,oosha; pyà,njila,mukùnà,kùnze,bìshi,kàlaabi,tòòke,fììka,butùku,difùku,mwaka,sàlùke,tàlàlàà,pasa,pya,nunu,lenga,bì,bolabola,kooyà,neema,cijèngù,twè,--,lànda,--,uuma,oolòlòke,pêpì nè,kule,dyàbalùme,dyàbakàjì,ku,mu,naa,nè; kàdi,ne,bwalu,dîna,
Shona,ini,ndi,iwe,u,iye,a,isu,ti,imi,mu,avo,va,ichi; iyi; iri; uyu; ino,icho; iyo; iro; uyo,pano,apo,ani,chii,kupi,rini,sei; ngani,kwete,ese,zhinji,amwe,shoma,imwe,motsi,piri,tatu,china,shanu,hombe,reba,fara,kora,rema,diki,pfupi,dete; nhete; sunhu,onda,mukadzi,murume,munhu,mwana,mudzimai,murume,amai,baba,mhuka,hove,shiri; nyana,imbwa,inda,nyoka,gonye,muti,sango,rutanda,muchero,mhodzi; mbeu,shizha,mudzi,gwati,ruva,uswa,tambo,ganda,nyama,ropa,bvupa,mafuta,zai,nyanga,muswe,nhenga,vhudzi; mvere; wool; ,musoro,nzeve,ziso,mhuno,muromo; mukanwa,zino,rurimi,nzara,tsoka,gumbo,ibvi,ruoko,bapiro,dumbu,ura; matumbu,mutsipa; huro; throat; ,musana,zamu; chifuva,moyo,chitaka,nzara,nwa,kudya; dya,ruma,sveta,pfira,rutsa,furidza,fema,seka,ona,nzwa,ziva,funga,nhuwidza,tya,rara,rarama,fa,uraya,rwa,vhima,rova; bhura,cheka; kuma,dambura,baya; junga,kwenya; kwara,chera; tukumbam,shambira,mbururuka,famba,uya,garira; zorora,gara; tambarara,sumuka; simuka; mira,pota,wa; donha,pa,bata; pfunda,dvinya,kwiza,geza,pukuta,zvuva; dhonza,sunda; sandidzira,kanda,sunga,sona,verenga; rava,taura; ti,imba,tamba,papama,erera,gwamba; tonhodza,zvimba,zuva,jenaguru; mwedzi; month; ,nyeredzi,mvura,kunaya,rwizi,dziva,gungwa; nyanza; ocean; ,munyu,ibwe,jecha,huruva,ivhu; pasi,gore; fuva,mhute,denga,mhepo,--,--,hutsi,moto,dota,pisa,nzira,gomo,tsvuku,girini,yero,chena,dema,husiku,zuva,gore,dziya,tonhora,zara,itsva,chembera; tsaru,naka,ipa,ora; rot; ,asviba,twasanuka,denderedzwa,pinza,gomara,tsetseka,totesa,omesa; oma,tsiura; ruramisa,pedo,kure,rudyi,ruboshwe,ku; kuna; pa; pana,mu,ne,na; ne,dai; nana; kana,nekuti,zita; dzinza,
Ndau,ini,ndi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chichewa,ini,ndi,iwe,u,iye,a,ife,ti,inu,mu,iwo,ba,uyu; awa; uwu; iyi; ichi; izi; ili; aka; iti; apa; uku; umu,uyo; awo; uku; poti; pakuti; muti; kuti; iyo; ako,pano; kuno; muno,apo; uko; umo; paja; kuja; muja,amene,chani,mmene; pamene; kumene,pamene; m’mene; po,nji,si,nse,mbiri,ngapo,ena; chepa,ina; ja,chimodzi,ziwiri,zitatu,zinai,zisanu,kulu,tali,takata; lifupi,khathamira; limbirapo; khuthala; chindikala,lemera,ng’ono,fupi,chepetsa; siyana maganizo,pyapyala; onda,mkazi; mayi,mwamuna,munthu,mwana,mkazi,munthu,mayi,tate,nyama,nsomba,mbalame,galu,nsabwe,njoka,nyongolotsi; litsipa; msundu,mtengo,nkhalango,ndodo,chipatso,mbewu; njere; mbuyi; mbuyu; nthanga,tsamba; dzani,muzu,kowola,duwa,udzu,chingwe,khungu,nyama,magazi,fupa,mafuta,dzira,nyanga; liphondo; lipenga,mchira,nthenga,tsitsi,mutu,khutu,diso,mphuno,kamwa,dzino,lilime,chikhadabo,phazi,mwendo,bondo,dzanja,khupe; phiko,mimba,--,khosi; chitambo,msana,bere,mtima,chiwindi; mphafa,,kumwa; mwa,dya,kuluma,yamwa; kama; fipa; tsopa,mate,sanzi,omba,puma,seka; bwezuka; kakadza,wona,mva,dziwa,ganiza,nunkha,opa; opana; opsedwa; thupsana,gona,khala,fa; mwalira,pha,ndewu; n.; ,saka,--,duka; tseteka,balula,baya,kalasa; kalasula; kalula; kanda,mba,sambila,nonthoka,yenda,dza,gona,tambalala; labzi,yima,khota; lowera,gwa,patsa,wetsa,khwinyata; vungama; khwinyala; finya,fikisa; tikita; tsangula; tsitsitiza; pekesa; sisita,samba,khula,koka,kankha; kunkhuniza; thunya,ponya; taya,kadzira; kwidzinga; manga; njata; gwiriziza,soka,werenga,--,yimba,doda; sewera; ponya,beruka; yandama,yenda,--,fufuma,dzuwa,mwezi,nyenyezi; nthondwa; nthanda,madzi,mvula,mtsinje,nyanja,nyanja ya mchere; nyanja zakuya kwambiri,muthira mchere,mwala,mchenga; timiyala; muhabva,fumbi,dziko,mtambo; khwithi; chifwirim,nkhungu; mikhwithi,thambo,chiphwisa,madzi oundana oyera amaoneka pamwamba pa mapiri aatali ku mayiko ozizira; chipale; chifunga; nkhungu,madzi oundana; madzi ouma; matalala,utsi,moto,chipala; phulusa,wocha; pya,msewu,phiri,fiira; psuu,biriwira,chikasu,yera,mkuda; wokuda,usiku,tsiku,chaka,funda,zizira,khuta; dzadza,tsopano,kalamba; khwima; kale,bwino,ipa; uve; chabe; bziwi; bi,ola; vunda,da; ipsa; detsa,ongoka; salala; tawatawa; njo; sapsatira,zungulira; zunguza; ndendera; bungulira,thwa,phinjika,salala,chinyezi; chinyontho,uma,konza,fupi; yandika,kutali,manja,siyidwa; tsala; kumanzere,pa,--,ndi,ndi,nkati; nkani; pokhala,chifukwa,dzina,
Lozi,na,ni,u; wa; tuwe,,a; u; wa,,luna,,mi; mina; mu,,bona,ba,bo; lo; o; wo; yo; kona; ka; bye; se; ze,ale; byale; lale; le; lee; lwale; sale; wale; yale; ani; bani; byani; lani; lwani; sani; wani; yani; ao; wo; yo; zeo; se,yo; fa; kafa,fo; ko; mo; yo; kwale; yonder; ,bafi,afi,kai; fo; ko; mo,lili; fa; muta,cwani,ha; isi; isini,kamukana; kaufela; zote,ta,kwa,sikakani; nyana,linja; sili,ngwi,peli,talu,ne,ketalizoho,tuna,telele,atama; atumuluha; pala; tona,kima; kumba; kita; kula; yowela,buima; kita; imela,bunyinyani; kacana; kanguya; kanyumiti; kashukuma; sishawa; tutu; maputu; small waves; ,kuswani; kashatu; caniba,kumbana; ninguka; patisana,sisani,mukati,mulume,mutu,mwana,musali,munna,me; m'a; m'ahe,ndate,siyamana; folofolo,tapi; mushiba; small fish; ,nyuny; nyunywani; nyunywani,nja; ndumewa; lundumba,nda; lilondwe; large louse; ,noha; likuluyoka; any big snake; ,sibuku; litiya; earthworm; ,sitondo; kota,mushitu; sikwa; jungle; ,tupa; kabama,nakumene,peu,lingambwa; ndamba,mubisi,likwati,palisa,bucwai; bucwani; lituta; mumbo,muhala; ntambo,litalo; mukata,nama,ngazi; mali,lisapo,mafula,lii,lunaka; linaka,muhata,mutenga,mulili,toho,zebe,liito,ngo,mulomo,lino,lilimi,--,lihutu,numbu; calf; ,mbumba; knee cap; ,lizoho,lifufa,mba,--,likoshi,mongo; mukokoto,lizwele; -olo; nolo; sifuba; mbando,pilu,sibiti,,nwa,lya; ca,luma,muma; mumuna; anya; zwepa,kwa,taza,futa; fufula; fuzela,buyela; foma; to puff; ,seha; sheka,bona,utwa,ziba,nahana; fumba,lupa; yuya,eila; saba,lala; onda,pila; yoya,fa; shwa,bulaya,lwa,zuma,kola,ceka; batula,pawla,kwaza; taba,falula; –walaula; nwalaula; –waya; nwaya; conkola,yepa; lafa; pumbula; shitula,cimbama; fuumuka; puwana,fufa; lamuka; lenda,enda; ela; zamaya,ta; taha,lapalala; lapama; patama,ikala; ina; itulela; njotomana,yema,futula; heta; pindhmuka; pindula; to turn up; ,wa,fa,ama; bamba; manja; fanata; kamata; swala,cubela; hamula; ngunganya,bukusha; huta; kwaka; pikita; sasa; sindula; tiinya,tapa; tapisa,komba; pyemula; takula; taula,hoha; kakutula; koka; kula; omba,kandula; kasha; kuba; sunda; susumeza; suta; yuna,bita; nganda; pafweka; posa; pundula; sunya; yumba,bopa; funga; manga; talinga; tama,luka; ngosoha; ngunda; nungahanya,bala,bulela; ize; li,opela,bapala; beba; lela; liza; on musical instrument; ,cimbeka; kuka; kupuka; yenduka,buba; coomoka; keleketa; kokomba,anda,kukumuha; luluha; lusa; tumba; tunduluka,lizazi,kweli,naleli,mezi,mbula,nuka,lisa,liwatata,mungwa; njee; lizwai; seasalt; ,licwe,lisheke; lishabati,liluli,lifasi,lilu,mbundu,lihalimu,mebo; moya; wind; spirit; ,litwa,mezi a kangezi,musi,mulilo,mulola; mufuse,ca; cisa; nungeka; tuka; tumbeka; tumbuka; yukweka,mukwakwa; nzila,lilundu,fubelu,tala,seta,sweu,nsu,busihu,musihali,mundiku; mwaha; silimo,futumezi; enyize,batile; hazezi; silami; cold; coolness; ,fasize; ndu; tezi; taleani,nca,hulu,nde,maswe,bola,nkwika; pumbile; silafezi; tapweile,nonga; otolohile; sinji; zanana,cica,buhali; lozize; shengile,buzwa; fumile; mbumbutezi; sinatiso,bebile; buleta; litezi; lolekile; ndendemezi; yengile,koloba; yemezi; nyanyelize; patekile,oma,lukisize; nepisize,kwatuko; kaufi; mabapa ni; near to; opposite to; ,kwahule; mambala; mpalila,lyo; bulyo; silyo,nzohoto; bunzohoto; sinzohoto,fa; kwa; mwa,kwa; mwa,hamoho; ni; ka,mi; ni,haiba; kaba; kabe; kambe,kabakala; kakuli,libizo,
Duala,mbá,na,oá,o,mɔ́,a,bisɔ́,di,binyɔ́,lo,babɔ́,bá,bón; nunan; nu,nunɛ,wan,wa,nde,nje,ó; wé; wéni,pɛ,nɛ; nɛni,si,bɛsɛ; nyɛsɛ; lɛsɛ,jita; njoasoa; eyeka,--,ngusu,--,wɔ́,bǎ,lálo,nɛí,tánu,ekokoto,bwabá,ebapa,--,didi,son,isungu,--,--,muto,mume,moto,muna,muto,mume,iyo; mama; yeye; nyango,tetɛ; te; sango; papá,nyama,sue,inɔn,mbɔ,--,nyamabwabá,--,bwele,eyídí,ebongó,epuma,dísɔ,eyadi,bwanga,eyobo,mbonji,ewudu,musinga,eyobo,nyama,mayá,ewesé,diwɔngi,muɛny,tɔ́ngɔ,móndó,esáó,nyɔ̄,mulopo,tói,dísɔ,mpemba,mudumbu,songá,eyémɛ,nyándi,mwendé,mukala,dibɔ́ngɔ,diá,dipupulan,dibum,mieya,nyíngo,mo̱ngo̱,bwangá,muléma,dibadi,,--,da,kukwa,--,--,--,wungea,--,yɔ lɔ; lɔ,jɛ nɛ,sɔngɔ,bia,jɔngɛlɛ,--,bɔngɔ,kɔ iyɔ,bɛ longɛ,wɔ,--,jana,bwéma; n.; ,dipa,kɛ,--,--,--,--,nyoyɛ,jiba,dangwa,pɔ,--,je,dámwɛ,--,kɔ,bola,dekɛ,--,sungwa,joa,--,--,koka,pimba,--,bangwa,lánga; sɔngɛlɛ,kwala,lɔngɔ,loko,wongwa,--,--,--,wéi,mɔdi,ngengeti,madiba,mbua,mutibe,ebudu,munja,wanga,dalé,mukoko,--,wase,diwindi,mbà,dibobɛ,ngɔ,sinɔ,ais,itutu,weya,--,--,ngea,mudongo,jola,musɔnɔ mw’eyadi,musɔnɔ mwa njabi,sanga,mundo,bulú,búnya,mbú,--,mulɔloɔkɔ,londi,penya,bodun,bwam,bobe,--,mbindo,sim,tengiledi,--,--,--,--,anji,--,bɛbɛ,etum,--,dimɔsɛ,--,o,na,na,tɛ,onyola,dina,
Kituba,mono,,nge,,yandi,,beto,,beno,,bau,,--,--,--,--,náni,wápi; ínki,wápi,tángu,íkwa,--,nyónso,míngi,--,--,--,mósi,zóle,tátu,iya,tánu,néne,índa,néne,--,kiló; kuléma,fyóti; fyéti,nkúfi,--,--,nkénto; nkéntu,bakála,múntu,mwána,nkénto; nkéntu,bakála,máma; ngúdi,táta,nyama,mbísi,ndeke; núni,ímbwa,nyánzi,nyóka,--,ínti,mfínda,--,--,--,likása,mwánsi,--,kifúla,matíti,--,--,nyama,ménga,múkwa,mafúta,díki; méki,mpoko,--,lusála; nsála,súki,íntu,dikútu,dísu,mbómbo,ínwa,dínu,ndínga; ludíma,nzála,litámbi; dikúlu,dikúlu; likúlu,dibóngo,dibóko,dipapá,kivúmu,--,nsíngu,mbísa,dibéne; ntúlu,ntíma,--,,kúnwa,kúdya,kutatúka,--,kulósa mánte,kulúka,--,kuwumína,kuséka,kumóna,kúwa,kuzába,--,--,bóma,kulála; tólo,--,kúfwa,kúfwa,kunwána,kubinga,kubúla,kuzénga,--,--,--,--,--,kudumúka,kutambúla,kukwísa; kukóta,--,kuvánda,--,--,kúbwa,kupésa,--,--,--,kusukúla; kuyobíla,--,--,--,--,--,--,--,kutúba,kuyímba,--,--,--,--,kuvímba,ntángu,ngóndo,mbwetéte; ntetembo,mása,mvúla,nzádi,zánga,múbu,múngwa,ditádi,munyenge,--,na tóto; na ínsi,ditútu,--,zúlu,mupepe,--,--,mwísi,tíya,lifutu,--,balabála; nzíla,--,mbwáki,--,--,mpémbe,ndómbe,mpímpa; pípa,lúmbu,mvúla,--,madídi; kyósi,--,malumálu,táma,mbóte; kilengi,ímbi,--,--,--,--,--,--,--,kupola; kubola,--,--,penepene,ntáma,bakála,kénto,--,na káti,na,na,--,--,nkúmbu,
Swahili,mimi,ni,wewe,u,yeye,a,sisi,tu,nyinyi,wa; m,wao,ba; wa,huyu; hii; hiki; hili; huu,lile; ule; yule; ile; kile,hapa,hapo; huko,nani,nini,wapi,lini,vipi,si; sio,wote,wengi; mengi,baadhi ya; chache,kidogo,ingine,moja,mbili,tatu,nne,tano,kubwa,refu; ndefu,pana,nene,zito; nzito,dogo; ndogo,fupi,embamba,embamba,mwanamke; bibi; gashi,mwanamume,mtu,mtoto,mke,mume,mama,baba,mnyama,samaki,ndege,mbwa,chawa,nyoka,mnyoo; nyungunyungu,mti,msitu; mwitu,fimbo,tunda,mbegu,jani,mzizi; shina,gamba,ua,nyasi,kamba,ngozi,nyama,damu,mfupa,mafuta; mori,yai,pembe,mkia,unyoya,nywele,kichwa,sikio,jicho,pua,kinywa,jino,ulimi,ukucha,mguu;  wayo,mguu,goti,mkono,ubawa,tumbo,utumbo,shingo,mgongo,ziwa;  kifua,moyo,ini,,kunywa; nywa,la,uma; ng'ata,fyonza; nyonya; amwa,tema,tapika,puliza; vuma,pumua,cheka,ona,sikia,jua; fahamu,waza; fikiri; dhani,nusa; nukia; nuka,ogopa; hofu,lala,ishi,fa,ua,pigana; wana,winda; saka,piga; gonga; chapa; zaba; bobota; limba; puta; nesa,kata; tema,pasua; atua; chana,choma; dunga,kuna; parua; kwaruza,chimba; chokoa,ogelea,paa; ruka,tembea; enda,ja,gona,keti,simama,pindua,anguka,pa,shika,kaba; minya; kama,sugua,osha,futa; pangusa,vuta,sukuma; kumba; guta,tupa,funga,shona,wanga; hesabu,sema,imba,cheza,elea,tiririka,ganda,fura,jua,mwezi,nyota,maji,mvua,mto,ziwa,bahari,chumvi,jiwe,mchanga,vumbi,ardhi; dunia; udongo,wingu,ukungu,uwingu; anga,upepo,theluji,barafu,moshi,moto,majivu,waka,njia,mlima,ekundu,kijani,manjano,eupe,eusi,usiku,siku,mwaka,moto,baridi,jaa; shiba,pya,zee,ema,baya,bovu,chafu,nyofu,duara,kali; koa,dugi,laini,nyevu; lowa,kavu,sahihi,karibu,mbali,kuume,kushoto,pa,bi; fi,na,na,kama,kwa kuwa; kwa sababu; ya; ,jina,mate
Punu,ménu,,ndéju,,a,,--,,--,,ba,,--,ike,avàve; agunu,avàne,--,--,avéñi; avè,--,nane,nési,kadi,pwèle,imosi; amosi,pesu; digasu,mususu; isusu,imosi,bibeï,bitatu,bina,biranu,--,--,--,--,--,--,gufise,--,vonu; digasu,mugétu,dibale,mutu,nwane,mugétu; mugatsi,mulumi,mame,taji,ibulu,wabe; lobe,tsoli,mondi,--,ñoge,--,nwiri,musiru; dijombi,namise,mulunde,maswiri,--,dungànzi,ibalu,ngondi,--,--,mukate,ñame,malungu,ivisi,matsi,diaki,--,--,--,nange; munaku,muru,dituji,disu,mbasu,munu,dinu,mbémbu,--,--,dikulu,dikotulu,dikàke,--,--,--,kingu,--,--,murime,--,,nu,ji,rabile; gake,fife,lúge,--,banze,vume,dikèki,labe,gulu,jabe,tase,mbunge,gome,bundeme,--,fu,boke,divite,sanze,gubene; bèmbe; bagule; dimbe,tabule; riabe,pase; gabe,--,gorule; gombe; tsindule,time,riale,puremuge; dage,wènde,ruge; duke,siale; timbe ,bandimine,--,gudige; puge; bète,bèruge,vège,gànge,ganne; bambige,tsindule; liomise,suse; golile,tsindule,dute,sindile,bwage,bambige,rarige,tale,vose; tsingule,wimbile,sige; ikambi,riale; bwile,--,--,wale; bwele,ñangu,tsungi,dibube,mambe,mfule,mujambe,--,mubu,musayi,dimañi,isièke; busièyi,kugumfu,butambe; vatsi,--,dimungi,julu,mupunge,--,--,nzumbili,muji,mabufu,babile; ñenze; banze,nzile,mukongu,riri,--,--,vème,--,mukolu,ilumbu,ilime,--,yotsi,lelévi,--,inunu,bweji; fine; ,mwifi,--,mwinzi,--,--,mengu,--,--,botse; moisten; ,gumuse,anane,béli,vale,mabale,--,omu; ombu,na,omu; ombu,na,--,nane; dibandu,dine,
Fang_Gabon,me,me; ma,we,ô; wa,nye; énye,a; a,bîe,bî; bîa,mine,mi; mia ,bo; ébo,be; ba,ényina; é more,éto; ôto,nne; va,va,nẑa,zè; ʣɛ,vé,é ñgeñ,na,dia; di,se,abî; ébyer; azô,nẑu,avétsañ,mbokh; mfe,fokh,bè,lal,né,tan,nen,ayo,ndam,afîp,azir,tokh,étun,mbamda; fanga,ékekep; ôkekep,mônga; manga,fam,môr,mon,ñgal,nnôm,nya; ɲa,ésa,tsir,ko; kos,ônon,mvu,nyin; ɲin,nyo; ɲɔ,nsoñ,éli,afan; ésana,éfalga,ébmuma,mvoñ; fes,ôkekè,"nzi
","
évîn",sam,ôbur,ñkol,ékô,tsir; nnam,mekî,évi,avoñ,akî,nlakh,ñgyem,asè,ésil,nlô,alo,zir,zṽi,anyu,asôñ,dem; ôyem,zè; ʣɛ,abo,abo,aboñ,wo,afap,abmum,minna; miṉya,kîñ,mvur,tsṽi,nlem,ésekh,,nyu,zi,lô,vyôle,sè meti,yô,vuñle,vebe; vemle,wé,yen,wôkh,yem,sima,nyum,ko woñ,yè; yale,nyiñ,wu,yṽi; buré,luma,some,yir; sip,kîkh,sal,bekh,kul,fakh; soñ,zokh,yele,wule,nẑu,bôme; bôe,tabe,kü,kiñla,ku,ve; ke,bele,yem; kumé,siñle,sô,fîmé; tsil,dure,tsine; sôghle,wa,kakh; tsiñde,tum; lṽi,lañ,"
zô",yè,do abya,yeñé; yeé,sṽi,0,fembe; vur,nlôsô; zô; vyè,ñgon,ôtiti,mezim,mveñ,nlo; ôtôñ,éliba; ényeña,ntua; mañ,ñku,akokh,nsegha,mbulgé; nduñ,si,ñkur,ñkur,yô,mfuña; évuñle; ñkule,0,0,ôtura,ndôa,asu,sikh,nsengé; nzoñ,ñkôl,évele,énenekh,atsṽi; mfôl,afum; éfumle,nsur,alu,mô,mbu,ayôñ,avo; avwé,abôm; nzèa,mfifi; nẑumé; nyone,nnôm,mvè; mba; mbeñ,mbi,ébol,mvîn,tetele; sôsôe,mvîghde,akap; avôl; nẑô,atul,ékokon,mbara,ñkôr; mvum,te,bi; feñ,ôyap,meyôm; kô,meyal; ka,e,e; éti,ye; ba,"
ye; ba; ve",kagha; ñgî,toghe na,zṽi; ʣyi,
